"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:56:51,1729440","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"14:56:51,1729534","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"14:56:51,1729612","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\om","NAME NOT FOUND","Length: 532"
"14:56:51,1729683","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS",""
"14:56:51,1729775","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","REPARSE","Desired Access: Read"
"14:56:51,1729861","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"14:56:51,1729948","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\om","NAME NOT FOUND","Length: 532"
"14:56:51,1730026","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"14:56:51,1730381","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"14:56:51,1730461","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"14:56:51,1730543","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\om-ET","NAME NOT FOUND","Length: 532"
"14:56:51,1730617","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS",""
"14:56:51,1730688","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","REPARSE","Desired Access: Read"
"14:56:51,1730756","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"14:56:51,1730829","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\om-ET","NAME NOT FOUND","Length: 532"
"14:56:51,1730910","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"14:56:51,1731033","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"14:56:51,1731116","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"14:56:51,1731296","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\om-KE","NAME NOT FOUND","Length: 532"
"14:56:51,1731374","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS",""
"14:56:51,1731458","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","REPARSE","Desired Access: Read"
"14:56:51,1731535","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"14:56:51,1731610","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\om-KE","NAME NOT FOUND","Length: 532"
"14:56:51,1731673","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
"14:56:51,1731776","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","REPARSE","Desired Access: Read"
"14:56:51,1731841","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS","Desired Access: Read"
"14:56:51,1731923","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale\or","NAME NOT FOUND","Length: 532"
"14:56:51,1731998","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\CustomLocale","SUCCESS",""
"14:56:51,1732073","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","REPARSE","Desired Access: Read"
"14:56:51,1732145","postgres.exe","21072","RegOpenKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS","Desired Access: Read"
"14:56:51,1732215","postgres.exe","21072","RegQueryValue","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale\or","NAME NOT FOUND","Length: 532"
"14:56:51,1732280","postgres.exe","21072","RegCloseKey","HKLM\System\CurrentControlSet\Control\Nls\ExtendedLocale","SUCCESS",""
